Date,Forecast,Lower_CI,Upper_CI
1970-01-01 00:00:00.000000124,24753.809616453,24440.36311155552,25067.256121350478
1970-01-02 00:00:00.000000124,24816.73877755021,24327.030050480902,25306.44750461952
1970-01-05 00:00:00.000000124,24710.250458319184,24063.60393095933,25356.89698567904
1970-01-06 00:00:00.000000124,24681.38186813474,23886.360477906717,25476.403258362763
1970-01-07 00:00:00.000000124,24823.21376746272,23896.74939667205,25749.678138253388
1970-01-08 00:00:00.000000124,24895.34146453678,23870.46188074498,25920.22104832858
1970-01-09 00:00:00.000000124,25062.09957487564,23935.017851581022,26189.181298170257
1970-01-12 00:00:00.000000124,25075.70506619312,23844.11989553007,26307.29023685617
1970-01-13 00:00:00.000000124,25138.38252385625,23805.62731732213,26471.13773039037
1970-01-14 00:00:00.000000124,25299.296188128235,23870.303654599607,26728.288721656863
1970-01-15 00:00:00.000000124,25368.385526334845,23834.139679933214,26902.631372736476
1970-01-16 00:00:00.000000124,25567.273928257768,23907.169726387274,27227.37813012826
1970-01-19 00:00:00.000000124,25594.201814699125,23803.18325065756,27385.22037874069
1970-01-20 00:00:00.000000124,25804.837580730913,23880.519253200953,27729.155908260873
1970-01-21 00:00:00.000000124,25899.964361937866,23850.79175232027,27949.13697155546
1970-01-22 00:00:00.000000124,25817.767797682034,23645.720234216617,27989.81536114745
1970-01-23 00:00:00.000000124,25868.2847612713,23554.520837436095,28182.048685106507
1970-01-26 00:00:00.000000124,25941.344217635222,23475.46572532478,28407.222709945665
1970-01-27 00:00:00.000000124,25956.03500117071,23329.40520619292,28582.664796148496
1970-01-28 00:00:00.000000124,26046.66049210022,23255.77584553052,28837.545138669924
1970-01-29 00:00:00.000000124,26203.340952839222,23229.179019550807,29177.502886127637
1970-01-30 00:00:00.000000124,26256.548122717537,23104.440119077655,29408.65612635742
1970-02-02 00:00:00.000000124,26326.697572904468,22994.845318292148,29658.54982751679
1970-02-03 00:00:00.000000124,26364.283196011387,22838.490201088785,29890.07619093399
1970-02-04 00:00:00.000000124,26438.269399561774,22720.473434554435,30156.065364569113
1970-02-05 00:00:00.000000124,26522.56133475628,22606.54624361848,30438.57642589408
1970-02-06 00:00:00.000000124,26617.62940317574,22500.90051361281,30734.358292738667
1970-02-09 00:00:00.000000124,26666.19478950766,22356.455984753724,30975.933594261594
1970-02-10 00:00:00.000000124,26731.495573156593,22231.279198181295,31231.71194813189
1970-02-11 00:00:00.000000124,26923.97629735599,22233.40354957745,31614.549045134525
1970-02-12 00:00:00.000000124,27019.02945007919,22142.14542117332,31895.913478985058
1970-02-13 00:00:00.000000124,27110.685580131307,22039.974176525106,32181.396983737508
1970-02-16 00:00:00.000000124,27169.467032330824,21896.70891898743,32442.225145674216
1970-02-17 00:00:00.000000124,27236.331049987668,21756.621622909835,32716.0404770655
1970-02-18 00:00:00.000000124,27300.9500143671,21610.437465344872,32991.46256338933
1970-02-19 00:00:00.000000124,27336.662314627738,21429.44172329043,33243.882905965045
1970-02-20 00:00:00.000000124,27458.342407613316,21323.26123355733,33593.4235816693
1970-02-23 00:00:00.000000124,27534.80811358863,21172.83311915696,33896.7831080203
1970-02-24 00:00:00.000000124,27572.859392543734,20984.681136076833,34161.037649010636
1970-02-25 00:00:00.000000124,27646.204134020816,20829.66553175506,34462.74273628657
1970-02-26 00:00:00.000000124,27713.430375463256,20665.78138934003,34761.07936158648
1970-02-27 00:00:00.000000124,27777.64933919002,20494.65719381784,35060.6414845622
1970-03-02 00:00:00.000000124,27891.648598150678,20367.848126820812,35415.44906948054
1970-03-03 00:00:00.000000124,27955.365543781034,20186.413321160995,35724.31776640107
1970-03-04 00:00:00.000000124,28034.836396123814,20022.185124915828,36047.4876673318
